n gru grulo gruhi nc24 nc24lo nc24hi deep deeplo deephi
234 5.640695e-03 5.640695e-03 2.189523e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
236 6.897161e-03 6.897161e-03 2.519770e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
238 9.369721e-03 9.369721e-03 4.439960e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
240 1.024146e-02 1.024146e-02 3.863690e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
242 7.112796e-03 7.112796e-03 1.882768e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
244 5.529066e-03 5.529066e-03 1.801550e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
246 6.141265e-03 6.141265e-03 1.299465e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
248 8.449932e-03 8.449932e-03 2.090505e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
250 6.482343e-03 6.482343e-03 1.592162e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
252 5.259862e-03 5.259862e-03 1.506041e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
254 6.974419e-03 6.974419e-03 1.585028e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
256 5.718703e-03 5.718703e-03 1.575860e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
258 4.434675e-03 4.434675e-03 1.634162e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
260 5.012691e-03 5.012691e-03 1.525601e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
262 7.417729e-03 7.417729e-03 1.453067e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
